date,product_id,sales_quantity
2022-04-13,2,61
2022-12-15,5,3
2022-09-28,4,86
2022-04-17,9,35
2022-03-13,5,85
2022-07-08,9,89
2022-01-21,9,66
2022-04-13,2,1
2022-05-02,9,7
2022-08-03,3,20
2022-11-27,4,43
2022-03-29,1,6
2022-04-10,1,55
2022-12-26,1,100
2022-06-01,9,21
2022-05-11,8,51
2022-05-30,5,46
2022-11-05,5,35
2022-09-15,9,100
2022-12-10,3,8
2022-10-21,3,68
2022-07-11,7,16
2022-10-04,9,67
2022-06-10,6,71
2022-11-10,2,64
2022-01-22,1,2
2022-09-10,2,1
2022-08-24,1,58
2022-12-11,10,1
2022-02-18,10,7
2022-02-28,9,88
2022-06-19,10,69
2022-07-07,8,85
2022-09-28,7,92
2022-07-09,3,18
2022-06-24,8,88
2022-02-20,2,32
2022-12-30,2,45
2022-02-24,10,33
2022-09-01,3,74
2022-11-16,7,73
2022-05-11,1,49
2022-11-03,8,33
2022-05-15,7,97
2022-01-21,4,71
2022-11-25,5,68
2022-06-16,10,28
2022-10-01,1,87
2022-03-30,4,53
2022-11-12,1,96
2022-01-14,1,44
2022-08-30,10,80
2022-09-22,1,55
2022-12-12,7,10
2022-02-22,7,14
2022-12-06,4,36
2022-04-02,2,34
2022-09-21,3,88
2022-02-04,8,18
2022-07-25,8,16
2022-03-22,6,37
2022-02-19,10,41
2022-12-26,9,25
2022-01-02,9,8
2022-02-23,4,88
2022-04-16,1,84
2022-09-17,1,94
2022-11-06,10,84
2022-07-10,5,18
2022-08-06,2,68
2022-02-13,6,48
2022-06-11,7,100
2022-07-21,1,70
2022-09-27,6,67
2022-12-17,8,18
2022-10-31,5,18
2022-09-28,7,56
2022-08-03,10,23
2022-09-09,6,35
2022-07-09,4,6
2022-10-23,7,26
2022-08-01,10,85
2022-07-27,9,61
2022-08-25,10,88
2022-12-04,10,15
2022-02-22,7,91
2022-10-07,5,32
2022-08-05,7,12
2022-09-09,3,5
2022-07-07,2,64
2022-02-10,5,71
2022-06-06,4,86
2022-01-15,5,27
2022-10-28,8,79
2022-03-06,4,45
2022-12-11,9,35
2022-11-23,7,26
2022-01-09,10,23
2022-12-10,7,13
2022-05-09,8,90
2022-05-16,6,3
2022-03-04,8,29
2022-05-19,3,66
2022-03-22,10,64
2022-06-12,10,28
2022-10-16,1,87
2022-09-18,6,36
2022-08-19,1,6
2022-02-10,9,11
2022-01-28,2,38
2022-05-15,2,34
2022-07-20,7,81
2022-11-24,2,67
2022-09-25,10,46
2022-02-02,8,98
2022-02-17,6,86
2022-03-03,7,29
2022-08-04,7,60
2022-10-20,6,54
2022-04-09,10,93
2022-06-21,9,69
2022-12-26,9,74
2022-08-02,7,74
2022-02-04,9,9
2022-08-15,10,85
2022-04-11,3,77
2022-05-11,3,10
2022-09-14,1,75
2022-01-05,5,68
2022-08-06,4,58
2022-09-12,2,95
2022-12-25,9,52
2022-10-10,3,34
2022-07-26,8,35
2022-01-15,6,33
2022-12-12,5,72
2022-02-11,1,32
2022-06-28,4,55
2022-03-04,3,97
2022-12-18,1,8
2022-08-19,5,46
2022-08-29,6,14
2022-02-21,2,98
2022-04-06,3,8
2022-08-10,6,71
2022-08-19,4,77
2022-08-25,9,54
2022-05-23,5,21
2022-06-20,4,96
2022-01-29,2,75
2022-02-05,6,14
2022-01-13,10,75
2022-06-09,2,2
2022-11-23,7,98
2022-07-06,3,61
2022-08-31,9,17
2022-03-27,5,78
2022-10-11,8,89
2022-03-07,6,48
2022-06-19,10,91
2022-02-14,8,8
2022-03-03,3,56
2022-05-14,3,17
2022-10-11,5,69
2022-01-28,10,12
2022-04-18,3,38
2022-02-13,8,18
2022-12-06,10,26
2022-10-13,8,95
2022-11-27,2,37
2022-05-08,4,70
2022-12-14,10,41
2022-08-19,1,79
2022-07-09,4,42
2022-08-13,4,90
2022-10-10,10,76
2022-05-01,9,41
2022-04-26,3,47
2022-08-21,2,14
2022-09-16,9,1
2022-12-25,9,17
2022-07-17,1,97
2022-05-17,6,55
2022-11-14,10,93
2022-06-14,8,53
2022-08-13,3,31
2022-11-03,9,62
2022-08-22,2,8
2022-06-21,6,30
2022-06-01,1,77
2022-11-11,7,80
2022-06-09,3,66
2022-04-06,7,45
2022-08-21,4,18
2022-06-29,9,99
2022-04-23,5,45
2022-11-14,3,19
2022-02-21,8,77
2022-09-25,6,68
2022-10-22,2,83
2022-04-23,3,50
2022-04-11,8,25
2022-04-23,10,38
2022-03-22,7,95
2022-07-06,10,36
2022-04-23,6,68
2022-01-02,1,56
2022-05-10,9,39
2022-08-08,3,63
2022-02-23,5,7
2022-12-09,7,58
2022-08-12,7,80
2022-08-13,3,59
2022-05-06,4,48
2022-05-10,10,5
2022-02-22,7,87
2022-06-21,8,36
2022-08-06,2,96
2022-06-09,9,88
2022-07-17,7,25
2022-09-04,8,45
2022-11-20,6,92
2022-07-22,6,19
2022-07-03,9,7
2022-05-03,4,58
2022-09-12,5,81
2022-10-21,9,66
2022-10-07,1,80
2022-11-21,4,39
2022-04-08,7,18
2022-07-17,9,1
2022-08-28,10,63
2022-05-24,6,3
2022-04-07,8,21
2022-07-20,9,30
2022-05-04,10,11
2022-07-06,4,22
2022-11-22,1,57
2022-12-15,8,89
2022-09-16,2,3
2022-05-28,1,30
2022-09-09,7,88
2022-12-12,10,45
2022-05-27,9,36
2022-05-28,9,87
2022-12-18,3,72
2022-07-18,6,64
2022-11-04,7,54
2022-05-08,10,68
2022-02-08,9,50
2022-12-04,2,31
2022-12-26,8,29
2022-05-09,7,59
2022-09-24,4,36
2022-05-31,2,77
2022-10-25,8,73
2022-04-09,5,85
2022-09-20,6,67
2022-09-09,7,89
2022-05-24,10,89
2022-12-12,1,76
2022-04-22,8,93
2022-03-01,4,11
2022-01-02,9,11
2022-10-31,1,26
2022-09-11,2,53
2022-05-20,6,14
2022-02-06,10,64
2022-06-09,1,80
2022-01-09,4,10
2022-08-21,8,31
2022-04-09,10,95
2022-05-27,5,36
2022-10-31,9,10
2022-07-27,6,26
2022-05-11,1,20
2022-06-01,6,44
2022-02-23,6,62
2022-04-30,6,73
2022-06-10,8,79
2022-04-26,6,9
2022-03-16,5,71
2022-04-23,2,90
2022-04-14,4,24
2022-12-06,10,12
2022-09-11,5,60
2022-08-15,10,84
2022-04-22,4,78
2022-04-09,2,86
2022-06-02,7,16
2022-12-15,10,29
2022-12-04,10,32
2022-07-13,2,83
2022-11-06,1,35
2022-06-12,5,43
2022-07-27,1,96
2022-06-18,1,53
2022-06-10,1,20
2022-03-09,6,84
2022-10-16,9,8
2022-10-04,10,99
2022-10-31,1,42
2022-05-15,5,77
2022-07-14,9,70
2022-05-08,9,16
2022-02-02,1,69
2022-06-25,8,53
2022-01-22,1,45
2022-08-26,8,51
2022-06-07,1,98
2022-02-07,5,6
2022-08-18,8,33
2022-12-31,6,79
2022-02-20,9,15
2022-09-21,1,14
2022-10-10,9,39
2022-01-27,1,63
2022-08-14,10,5
2022-10-04,10,90
2022-10-13,3,81
